date,Jetblue,Motel6,Jetblue_pred,Motel6_pred
2021-04-24 00:00:00 UTC,29516,62149,,
2021-04-25 00:00:00 UTC,39331,52258,,
2021-04-26 00:00:00 UTC,44853,45813,,
2021-04-27 00:00:00 UTC,44329,54893,,
2021-04-28 00:00:00 UTC,42680,52635,,
2021-04-29 00:00:00 UTC,46485,61852,,
2021-04-30 00:00:00 UTC,45302,60307,,
2021-05-01 00:00:00 UTC,32965,50508,,
2021-05-02 00:00:00 UTC,37702,61976,,
2021-05-03 00:00:00 UTC,56445,64876,,
2021-05-04 00:00:00 UTC,55040,63111,,
2021-05-05 00:00:00 UTC,52532,60622,,
2021-05-06 00:00:00 UTC,37716,62006,,
2021-05-07 00:00:00 UTC,44363,45318,,
2021-05-08 00:00:00 UTC,33726,54534,,
2021-05-09 00:00:00 UTC,35970,54552,,
2021-05-10 00:00:00 UTC,63395,63568,,
2021-05-11 00:00:00 UTC,61239,64096,,
2021-05-12 00:00:00 UTC,55447,60723,,
2021-05-13 00:00:00 UTC,51670,53386,,
2021-05-14 00:00:00 UTC,44706,48829,,
2021-05-15 00:00:00 UTC,31784,46466,,
2021-05-16 00:00:00 UTC,37102,39852,,
2021-05-17 00:00:00 UTC,75995,63637,,
2021-05-18 00:00:00 UTC,82988,63637,,
2021-05-19 00:00:00 UTC,80937,63637,,
2021-05-20 00:00:00 UTC,78630,63637,,
2021-05-21 00:00:00 UTC,69538,63637,,
2021-05-22 00:00:00 UTC,52181,56546,,
2021-05-23 00:00:00 UTC,59635,59927,,
2021-05-24 00:00:00 UTC,86481,64120,,
2021-05-25 00:00:00 UTC,86302,64120,,
2021-05-26 00:00:00 UTC,86924,64120,,
2021-05-27 00:00:00 UTC,76768,64120,,
2021-05-28 00:00:00 UTC,66661,64120,,
2021-05-29 00:00:00 UTC,53148,58548,,
2021-05-30 00:00:00 UTC,53666,64527,,
2021-05-31 00:00:00 UTC,69226,65195,,
2021-06-01 00:00:00 UTC,86858,65195,,
2021-06-02 00:00:00 UTC,84314,65195,,
2021-06-03 00:00:00 UTC,82639,65195,,
2021-06-04 00:00:00 UTC,69663,65195,,
2021-06-05 00:00:00 UTC,49268,60330,,
2021-06-06 00:00:00 UTC,53769,57969,,
2021-06-07 00:00:00 UTC,88562,59955,,
2021-06-08 00:00:00 UTC,85801,59955,,
2021-06-09 00:00:00 UTC,82697,59955,,
2021-06-10 00:00:00 UTC,76289,59955,,
2021-06-11 00:00:00 UTC,69979,59955,,
2021-06-12 00:00:00 UTC,51964,61266,,
2021-06-13 00:00:00 UTC,58298,65373,,
2021-06-14 00:00:00 UTC,89740,63021,,
2021-06-15 00:00:00 UTC,90578,63021,,
2021-06-16 00:00:00 UTC,82477,63021,,
2021-06-17 00:00:00 UTC,71624,63021,,
2021-06-18 00:00:00 UTC,66507,63021,,
2021-06-19 00:00:00 UTC,49075,50040,,
2021-06-20 00:00:00 UTC,52115,63392,,
2021-06-21 00:00:00 UTC,88260,57333,,
2021-06-22 00:00:00 UTC,96911,57333,,
2021-06-23 00:00:00 UTC,89891,57333,,
2021-06-24 00:00:00 UTC,81062,57333,,
2021-06-25 00:00:00 UTC,71911,57333,,
2021-06-26 00:00:00 UTC,56568,57916,,
2021-06-27 00:00:00 UTC,64664,64719,,
2021-06-28 00:00:00 UTC,88816,54300,,
2021-06-29 00:00:00 UTC,91789,54300,,
2021-06-30 00:00:00 UTC,44820,48352,,
2021-07-01 00:00:00 UTC,89785,52913,,
2021-07-02 00:00:00 UTC,76485,52913,,
2021-07-03 00:00:00 UTC,58254,60667,,
2021-07-04 00:00:00 UTC,50175,63850,,
2021-07-05 00:00:00 UTC,71007,53069,,
2021-07-06 00:00:00 UTC,96497,53069,,
2021-07-07 00:00:00 UTC,96008,53069,,
2021-07-08 00:00:00 UTC,92678,53069,,
2021-07-09 00:00:00 UTC,84634,53069,,
2021-07-10 00:00:00 UTC,59207,61959,,
2021-07-11 00:00:00 UTC,64100,65347,,
2021-07-12 00:00:00 UTC,97565,65235,,
2021-07-13 00:00:00 UTC,102573,65235,,
2021-07-14 00:00:00 UTC,100620,65235,,
2021-07-15 00:00:00 UTC,95509,65235,,
2021-07-16 00:00:00 UTC,72971,65235,,
2021-07-17 00:00:00 UTC,58118,63150,,
2021-07-18 00:00:00 UTC,68359,60368,,
2021-07-19 00:00:00 UTC,93624,60368,,
2021-07-20 00:00:00 UTC,92150,60368,,
2021-07-21 00:00:00 UTC,89158,60368,,
2021-07-22 00:00:00 UTC,80658,60368,,
2021-07-23 00:00:00 UTC,67640,60368,,
2021-07-24 00:00:00 UTC,47995,62329,,
2021-07-25 00:00:00 UTC,61700,64688,,
2021-07-26 00:00:00 UTC,88030,48956,,
2021-07-27 00:00:00 UTC,100240,48956,,
2021-07-28 00:00:00 UTC,90913,48956,,
2021-07-29 00:00:00 UTC,89830,48956,,
2021-07-30 00:00:00 UTC,65129,65192,,
2021-07-31 00:00:00 UTC,47733,63627,,
2021-08-01 00:00:00 UTC,61738,61852,,
2021-08-02 00:00:00 UTC,93217,59486,,
2021-08-03 00:00:00 UTC,113731,59486,,
2021-08-04 00:00:00 UTC,98458,59486,,
2021-08-05 00:00:00 UTC,76705,59486,,
2021-08-06 00:00:00 UTC,69229,59486,,
2021-08-07 00:00:00 UTC,53073,61030,,
2021-08-08 00:00:00 UTC,63177,64182,,
2021-08-09 00:00:00 UTC,82600,39709,,
2021-08-10 00:00:00 UTC,82030,83761,,
2021-08-11 00:00:00 UTC,74744,57645,,
2021-08-12 00:00:00 UTC,71805,25507,,
2021-08-13 00:00:00 UTC,62973,64894,,
2021-08-14 00:00:00 UTC,48403,85234,,
2021-08-15 00:00:00 UTC,52289,47558,,
2021-08-16 00:00:00 UTC,78723,39719,,
2021-08-17 00:00:00 UTC,76049,23508,,
2021-08-18 00:00:00 UTC,74644,57652,,
2021-08-19 00:00:00 UTC,74779,18669,,
2021-08-20 00:00:00 UTC,68432,24601,,
2021-08-21 00:00:00 UTC,57624,21699,,
2021-08-22 00:00:00 UTC,61525,98378,,
2021-08-23 00:00:00 UTC,72985,99121,,
2021-08-24 00:00:00 UTC,72138,21258,,
2021-08-25 00:00:00 UTC,65809,50105,,
2021-08-26 00:00:00 UTC,54209,16524,,
2021-08-27 00:00:00 UTC,53965,38592,,
2021-08-28 00:00:00 UTC,40695,91727,,
2021-08-29 00:00:00 UTC,46300,81689,,
2021-08-30 00:00:00 UTC,72803,87699,,
2021-08-31 00:00:00 UTC,72997,53377,,
2021-09-01 00:00:00 UTC,70928,26050,,
2021-09-02 00:00:00 UTC,74563,83797,,
2021-09-03 00:00:00 UTC,55852,46696,,
2021-09-04 00:00:00 UTC,41016,16606,,
2021-09-05 00:00:00 UTC,45162,85849,,
2021-09-06 00:00:00 UTC,57795,66782,,
